Week,Sales_Actual,Sales_Forecast,Error_Pct,Alerts,Actions
2024-02-04,403.1020081,401.32606733547084,0.4405685729277167,CPC_Avg DOWN mutation 39% compared to four weeks ago; CPA DOWN mutation 36% compared to four weeks ago; ROAS UP mutation 55% compared to four weeks ago, Reduce budget or optimize targeting. |  Check the traffic quality. |  Consider shifting your budget to a more effective channel.
2024-02-11,423.3763369,405.1010577895301,4.316556575713032,CPC_Avg DOWN mutation 19% compared to four weeks ago; CPA DOWN mutation 19% compared to four weeks ago; ROAS UP mutation 18% compared to four weeks ago, Reduce budget or optimize targeting. |  Check the traffic quality. |  Consider shifting your budget to a more effective channel.
2024-02-18,428.7757867,429.6514299766592,-0.204219385473793,CPC_Avg DOWN mutation 22% compared to four weeks ago; CPA DOWN mutation 45% compared to four weeks ago; ROAS UP mutation 73% compared to four weeks ago; CR_Calculated UP mutation 41% compared to four weeks ago," Reduce budget or optimize targeting. |  Check the traffic quality. |  Consider shifting your budget to a more effective channel. |  A/B test landing page, check the registration form"
2024-02-25,495.6784482,460.3679750332798,7.123665209763747,"CPC too high (3đ > threshold 3đ, +20%); CPC_Avg UP mutation 58% compared to four weeks ago; CPA UP mutation 47% compared to four weeks ago; ROAS DOWN mutation 36% compared to four weeks ago", Reduce budget or optimize targeting. |  Check the traffic quality. |  Consider shifting your budget to a more effective channel.
2024-03-03,373.8757247,405.8737482840552,-8.558465144997204,"CR too low (9.07% < threshold 9.11%, -0%); ROAS DOWN mutation 15% compared to four weeks ago; CR_Calculated DOWN mutation 16% compared to four weeks ago"," Consider shifting your budget to a more effective channel. |  A/B test landing page, check the registration form"
2024-03-10,421.8026186,426.79573724122525,-1.1837571463633483,"CPC too high (3đ > threshold 3đ, +15%); CPA too high (38đ > threshold 32đ, +20%); ROAS too low (0.03x < threshold 0.03x, -16%); ROI too low (-97.4% < threshold -96.9%, --1%); CR too low (8.62% < threshold 9.11%, -5%); CPC_Avg UP mutation 35% compared to four weeks ago; CPA UP mutation 63% compared to four weeks ago; ROAS DOWN mutation 43% compared to four weeks ago; CR_Calculated DOWN mutation 19% compared to four weeks ago"," Reduce budget or optimize targeting. |  Check the traffic quality. |  Consider shifting your budget to a more effective channel. |  A/B test landing page, check the registration form"
2024-03-17,418.1886026,419.1644687383675,-0.23335550808898367, All indicators are within the range., Continue maintaining the current campaign.
2024-03-24,410.2850741,414.7912397400408,-1.09830113852558,"CPC too high (3đ > threshold 3đ, +4%)", Reduce budget or optimize targeting.
2024-03-31,403.7168378,399.2937240881971,1.095598027544765,CPA DOWN mutation 16% compared to four weeks ago, Check the traffic quality.
2024-04-07,499.6502993,418.3059954255108,16.28024720258367,CPA DOWN mutation 19% compared to four weeks ago; ROAS UP mutation 19% compared to four weeks ago; Sales exceeded forecasts 16% (tốt!), Check the traffic quality. |  Consider shifting your budget to a more effective channel.
